Gene seq,Link to JGI page
114,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035576&data_type=assembled&gene_oid=Ga0374536_024719_3_809
100,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035576&data_type=assembled&gene_oid=Ga0374536_010562_1_1158
83,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035576&data_type=assembled&gene_oid=Ga0374536_012865_20_1087
36,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035576&data_type=assembled&gene_oid=Ga0374536_040383_3_644
139,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035576&data_type=assembled&gene_oid=Ga0374536_012599_59_1099
41,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035576&data_type=assembled&gene_oid=Ga0374536_035347_2_679
60,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035576&data_type=assembled&gene_oid=Ga0374536_018995_63_914
38,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035576&data_type=assembled&gene_oid=Ga0374536_030167_1_738
50,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035576&data_type=assembled&gene_oid=Ga0374536_051118_3_578
22,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035576&data_type=assembled&gene_oid=Ga0374536_045941_2_607
241,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035576&data_type=assembled&gene_oid=Ga0374536_009910_1_1068
96,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035576&data_type=assembled&gene_oid=Ga0374536_022702_3_839
6902,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035576&data_type=assembled&gene_oid=Ga0374536_006894_435_1385
57,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035576&data_type=assembled&gene_oid=Ga0374536_029809_4_744
95,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035576&data_type=assembled&gene_oid=Ga0374536_008369_110_1306
33,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035576&data_type=assembled&gene_oid=Ga0374536_018460_1_927
42,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035576&data_type=assembled&gene_oid=Ga0374536_028577_22_756
239,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035576&data_type=assembled&gene_oid=Ga0374536_022356_20_847
62,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035571&data_type=assembled&gene_oid=Ga0374531_008855_208_1209
86,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035571&data_type=assembled&gene_oid=Ga0374531_017795_2_913
52,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035571&data_type=assembled&gene_oid=Ga0374531_036089_2_670
251,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035571&data_type=assembled&gene_oid=Ga0374531_002835_107_1870
26,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035571&data_type=assembled&gene_oid=Ga0374531_038978_2_640
156,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035571&data_type=assembled&gene_oid=Ga0374531_002611_1_1869
58,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035571&data_type=assembled&gene_oid=Ga0374531_020122_4_864
50,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_004655_2_1594
477,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_002843_115_1878
276,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_007185_3_1427
52,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_013732_1_894
66,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_022418_187_921
101,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_007627_83_1336
47,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_015342_7_1071
106,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_003600_1_1605
57,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_011838_128_1177
31,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_018254_3_956
55,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_024678_48_887
147,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_002849_143_1966
188,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_003091_43_1932
389,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_007854_3_1376
134,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_005244_2_1384
40,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_017023_1_1032
173,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_006639_42_1466
130,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_049837_1_660
66,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_037177_66_746
52,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_009111_3_1247
37,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_025469_1_876
96,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_009613_33_1259
42,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035573&data_type=assembled&gene_oid=Ga0374533_032822_24_785
64,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_039857_14_838
292,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_004855_85_1968
390,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_005134_47_1954
115,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_019101_1_924
299,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_005819_30_1631
88,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_033898_65_901
817,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_014440_111_1292
105,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_026693_2_955
128,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_014408_24_1292
79,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_013935_54_1310
114,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_010497_1_1311
32,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_093024_3_575
146,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_006588_221_1777
118,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_022727_1_1068
54,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_013218_2_1255
75,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_036680_3_848
29,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_086554_2_595
43,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_062171_1_687
87,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_022318_59_1075
57,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_015811_1_1179
171,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_013855_35_1315
270,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_329026_2_271
79,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035580&data_type=assembled&gene_oid=Ga0374540_021024_3_887
94,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300052326&data_type=assembled&gene_oid=Ga0504721_011848_2_733
860,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300052326&data_type=assembled&gene_oid=Ga0504721_008374_3_845
9800,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300052326&data_type=assembled&gene_oid=Ga0504721_003035_2_1261
10004,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300052326&data_type=assembled&gene_oid=Ga0504721_002470_2_1363
9441,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300052325&data_type=assembled&gene_oid=Ga0504719_013299_1_906
3899,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300052325&data_type=assembled&gene_oid=Ga0504719_002132_118_1956
441,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300052325&data_type=assembled&gene_oid=Ga0504719_035366_145_585
43,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037772&data_type=assembled&gene_oid=Ga0401336_08954_2_724
77,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300041969&data_type=assembled&gene_oid=Ga0401330_003242_519_1418
331,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300052963&data_type=assembled&gene_oid=Ga0531538_010076_1_1881
97,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300052963&data_type=assembled&gene_oid=Ga0531538_045990_2_778
46,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300052963&data_type=assembled&gene_oid=Ga0531538_018526_882_1664
561,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300052963&data_type=assembled&gene_oid=Ga0531538_194834_2_562
24,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300052963&data_type=assembled&gene_oid=Ga0531538_115400_1_714
194,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300052963&data_type=assembled&gene_oid=Ga0531538_044457_134_1114
151,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035586&data_type=assembled&gene_oid=Ga0374542_005817_3_1238
34,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035586&data_type=assembled&gene_oid=Ga0374542_017087_1_768
40,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035586&data_type=assembled&gene_oid=Ga0374542_020871_3_722
100,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037765&data_type=assembled&gene_oid=Ga0401323_010835_128_955
77,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037765&data_type=assembled&gene_oid=Ga0401323_007217_3_1094
14,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037765&data_type=assembled&gene_oid=Ga0401323_019095_2_718
25,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037765&data_type=assembled&gene_oid=Ga0401323_019847_1_705
222,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037765&data_type=assembled&gene_oid=Ga0401323_002289_11_1885
49,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037765&data_type=assembled&gene_oid=Ga0401323_010409_3_875
44,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037765&data_type=assembled&gene_oid=Ga0401323_013145_103_867
56,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037765&data_type=assembled&gene_oid=Ga0401323_017276_6_755
61,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037765&data_type=assembled&gene_oid=Ga0401323_005949_18_1268
100,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037759&data_type=assembled&gene_oid=Ga0401320_007873_109_1344
243,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037759&data_type=assembled&gene_oid=Ga0401320_003806_2_1762
82,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037759&data_type=assembled&gene_oid=Ga0401320_008191_6_1301
207,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037759&data_type=assembled&gene_oid=Ga0401320_002677_108_2033
354,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037759&data_type=assembled&gene_oid=Ga0401320_158310_8_361
85,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037759&data_type=assembled&gene_oid=Ga0401320_006588_20_1441
29,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037759&data_type=assembled&gene_oid=Ga0401320_025577_1_753
217,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037759&data_type=assembled&gene_oid=Ga0401320_002961_141_1964
143,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037759&data_type=assembled&gene_oid=Ga0401320_010234_3_1211
13,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037759&data_type=assembled&gene_oid=Ga0401320_071692_1_525
896,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035585&data_type=assembled&gene_oid=Ga0374541_002391_1_1788
77,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035585&data_type=assembled&gene_oid=Ga0374541_028155_3_806
72,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035585&data_type=assembled&gene_oid=Ga0374541_015484_19_1008
158,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035585&data_type=assembled&gene_oid=Ga0374541_004050_119_1657
